model,expected_K,mean_estimated_K,max_abs_error_interior
sphere,1.0,0.9999924822455858,7.517759283537373e-06
plane,0.0,-9.275120922372045e-15,4.124373025925506e-12
hyperbolic,-1.0,-1.0000075177996157,7.5178063854153265e-06
