number,pdf_start,printed_start,title
1,75,60,Sheaves
2,84,69,Schemes
3,97,82,First Properties of Schemes
4,110,95,Separated and Proper Morphisms
5,123,108,Sheaves of Modules
6,144,129,Divisors
7,164,149,Projective Morphisms
8,187,172,Differentials
9,205,190,Formal Schemes
