concept,artifact
Discriminants,discriminants-and-finite-type-invariants-initial-model.png
Finite,discriminants-and-finite-type-invariants-initial-model.png
Type,discriminants-and-finite-type-invariants-initial-model.png
Invariants,discriminants-and-finite-type-invariants-initial-model.png
Quadratic,discriminants-and-finite-type-invariants-initial-model.png
Degree,discriminants-and-finite-type-invariants-initial-model.png
Point,discriminants-and-finite-type-invariants-initial-model.png
