absolute_error_from_first_view,cross_ratio_seen_from_view,view_parameter
0.0,1.5879717889419347,-2.9
2.220446049250313e-16,1.5879717889419345,-2.05
2.220446049250313e-16,1.5879717889419345,-0.45
4.440892098500626e-16,1.5879717889419342,0.85
6.661338147750939e-16,1.587971788941934,1.85
2.220446049250313e-16,1.587971788941935,2.8
