degree,basis_dim,kernel_dim,image_dim_from_previous_degree,cohomology_dim
0,1,1,0,1
1,0,0,0,0
2,1,1,0,1
3,1,0,0,0
4,1,1,1,0
5,1,0,0,0
6,1,1,1,0
7,1,0,0,0
8,1,1,1,0
9,1,0,0,0
10,1,1,1,0
