unit,printed_pages,physical_pages,notebook_path,source_files
Chapter 01: Elementary differential geometry,1-24,10-33,chapter-01-elementary-differential-geometry/01-elementary-differential-geometry.ipynb,source/djvu_text/page-010.txt;source/djvu_text/page-011.txt;source/djvu_text/page-012.txt;source/djvu_text/page-013.txt;source/djvu_text/page-014.txt;source/djvu_text/page-015.txt;source/djvu_text/page-016.txt;source/djvu_text/page-017.txt;source/djvu_text/page-018.txt;source/djvu_text/page-019.txt;source/djvu_text/page-020.txt;source/djvu_text/page-021.txt;source/djvu_text/page-022.txt;source/djvu_text/page-023.txt;source/djvu_text/page-024.txt;source/djvu_text/page-025.txt;source/djvu_text/page-026.txt;source/djvu_text/page-027.txt;source/djvu_text/page-028.txt;source/djvu_text/page-029.txt;source/djvu_text/page-030.txt;source/djvu_text/page-031.txt;source/djvu_text/page-032.txt;source/djvu_text/page-033.txt
Chapter 02: The geometric structure of statistical models,25-50,34-59,chapter-02-geometric-structure-of-statistical-models/02-geometric-structure-of-statistical-models.ipynb,source/djvu_text/page-034.txt;source/djvu_text/page-035.txt;source/djvu_text/page-036.txt;source/djvu_text/page-037.txt;source/djvu_text/page-038.txt;source/djvu_text/page-039.txt;source/djvu_text/page-040.txt;source/djvu_text/page-041.txt;source/djvu_text/page-042.txt;source/djvu_text/page-043.txt;source/djvu_text/page-044.txt;source/djvu_text/page-045.txt;source/djvu_text/page-046.txt;source/djvu_text/page-047.txt;source/djvu_text/page-048.txt;source/djvu_text/page-049.txt;source/djvu_text/page-050.txt;source/djvu_text/page-051.txt;source/djvu_text/page-052.txt;source/djvu_text/page-053.txt;source/djvu_text/page-054.txt;source/djvu_text/page-055.txt;source/djvu_text/page-056.txt;source/djvu_text/page-057.txt;source/djvu_text/page-058.txt;source/djvu_text/page-059.txt
Chapter 03: Dual connections,51-80,60-89,chapter-03-dual-connections/03-dual-connections.ipynb,source/djvu_text/page-060.txt;source/djvu_text/page-061.txt;source/djvu_text/page-062.txt;source/djvu_text/page-063.txt;source/djvu_text/page-064.txt;source/djvu_text/page-065.txt;source/djvu_text/page-066.txt;source/djvu_text/page-067.txt;source/djvu_text/page-068.txt;source/djvu_text/page-069.txt;source/djvu_text/page-070.txt;source/djvu_text/page-071.txt;source/djvu_text/page-072.txt;source/djvu_text/page-073.txt;source/djvu_text/page-074.txt;source/djvu_text/page-075.txt;source/djvu_text/page-076.txt;source/djvu_text/page-077.txt;source/djvu_text/page-078.txt;source/djvu_text/page-079.txt;source/djvu_text/page-080.txt;source/djvu_text/page-081.txt;source/djvu_text/page-082.txt;source/djvu_text/page-083.txt;source/djvu_text/page-084.txt;source/djvu_text/page-085.txt;source/djvu_text/page-086.txt;source/djvu_text/page-087.txt;source/djvu_text/page-088.txt;source/djvu_text/page-089.txt
Chapter 04: Statistical inference and differential geometry,81-114,90-123,chapter-04-statistical-inference-and-differential-geometry/04-statistical-inference-and-differential-geometry.ipynb,source/djvu_text/page-090.txt;source/djvu_text/page-091.txt;source/djvu_text/page-092.txt;source/djvu_text/page-093.txt;source/djvu_text/page-094.txt;source/djvu_text/page-095.txt;source/djvu_text/page-096.txt;source/djvu_text/page-097.txt;source/djvu_text/page-098.txt;source/djvu_text/page-099.txt;source/djvu_text/page-100.txt;source/djvu_text/page-101.txt;source/djvu_text/page-102.txt;source/djvu_text/page-103.txt;source/djvu_text/page-104.txt;source/djvu_text/page-105.txt;source/djvu_text/page-106.txt;source/djvu_text/page-107.txt;source/djvu_text/page-108.txt;source/djvu_text/page-109.txt;source/djvu_text/page-110.txt;source/djvu_text/page-111.txt;source/djvu_text/page-112.txt;source/djvu_text/page-113.txt;source/djvu_text/page-114.txt;source/djvu_text/page-115.txt;source/djvu_text/page-116.txt;source/djvu_text/page-117.txt;source/djvu_text/page-118.txt;source/djvu_text/page-119.txt;source/djvu_text/page-120.txt;source/djvu_text/page-121.txt;source/djvu_text/page-122.txt;source/djvu_text/page-123.txt
Chapter 05: The geometry of time series and linear systems,115-132,124-141,chapter-05-geometry-of-time-series-and-linear-systems/05-geometry-of-time-series-and-linear-systems.ipynb,source/djvu_text/page-124.txt;source/djvu_text/page-125.txt;source/djvu_text/page-126.txt;source/djvu_text/page-127.txt;source/djvu_text/page-128.txt;source/djvu_text/page-129.txt;source/djvu_text/page-130.txt;source/djvu_text/page-131.txt;source/djvu_text/page-132.txt;source/djvu_text/page-133.txt;source/djvu_text/page-134.txt;source/djvu_text/page-135.txt;source/djvu_text/page-136.txt;source/djvu_text/page-137.txt;source/djvu_text/page-138.txt;source/djvu_text/page-139.txt;source/djvu_text/page-140.txt;source/djvu_text/page-141.txt
Chapter 06: Multiterminal information theory and statistical inference,133-144,142-153,chapter-06-multiterminal-information-theory/06-multiterminal-information-theory.ipynb,source/djvu_text/page-142.txt;source/djvu_text/page-143.txt;source/djvu_text/page-144.txt;source/djvu_text/page-145.txt;source/djvu_text/page-146.txt;source/djvu_text/page-147.txt;source/djvu_text/page-148.txt;source/djvu_text/page-149.txt;source/djvu_text/page-150.txt;source/djvu_text/page-151.txt;source/djvu_text/page-152.txt;source/djvu_text/page-153.txt
Chapter 07: Information geometry for quantum systems,145-166,154-175,chapter-07-information-geometry-for-quantum-systems/07-information-geometry-for-quantum-systems.ipynb,source/djvu_text/page-154.txt;source/djvu_text/page-155.txt;source/djvu_text/page-156.txt;source/djvu_text/page-157.txt;source/djvu_text/page-158.txt;source/djvu_text/page-159.txt;source/djvu_text/page-160.txt;source/djvu_text/page-161.txt;source/djvu_text/page-162.txt;source/djvu_text/page-163.txt;source/djvu_text/page-164.txt;source/djvu_text/page-165.txt;source/djvu_text/page-166.txt;source/djvu_text/page-167.txt;source/djvu_text/page-168.txt;source/djvu_text/page-169.txt;source/djvu_text/page-170.txt;source/djvu_text/page-171.txt;source/djvu_text/page-172.txt;source/djvu_text/page-173.txt;source/djvu_text/page-174.txt;source/djvu_text/page-175.txt
Chapter 08: Miscellaneous topics,167-180,176-189,chapter-08-miscellaneous-topics/08-miscellaneous-topics.ipynb,source/djvu_text/page-176.txt;source/djvu_text/page-177.txt;source/djvu_text/page-178.txt;source/djvu_text/page-179.txt;source/djvu_text/page-180.txt;source/djvu_text/page-181.txt;source/djvu_text/page-182.txt;source/djvu_text/page-183.txt;source/djvu_text/page-184.txt;source/djvu_text/page-185.txt;source/djvu_text/page-186.txt;source/djvu_text/page-187.txt;source/djvu_text/page-188.txt;source/djvu_text/page-189.txt
