source,pole_on_source_circle,expected_image_type,fitted_image_type,matches_rule,fit_rms,leading_coefficient_abs
editable circle through pole,True,line,line,True,8.62666126301712e-15,0.0
editable circle missing pole,False,circle,circle,True,4.750194208976311e-16,0.7349375615035494
editable slanted line missing pole,False,circle,circle,True,3.6757702783996354e-16,0.897388348995415
